model,variant,enc,params,flops_per_forecast,flops_fwd_total,n_forecasts,peak_mem_GB,analytic_rnn_topup,analytic_fft_topup,analytic_ssd_topup,analytic_attn_topup,one_time_setup_flops,param_only_uncounted,blind_modules,status,local_flops_per_forecast,local_vs_box
lstm,asa_4d,embeddings,686338,82971137.22524679,2496352605696,30087,33.751,1135746220032,0,,,0,,,ok,82971137,same
lstm,asa_4d,onehot,686338,82971137.22524679,2496352605696,30087,33.750,1135746220032,0,,,0,,,ok,,
lstm,asa_4d_id,embeddings,860290,82971137.22524679,2496352605696,30087,33.766,1135746220032,0,,,0,,,ok,,
lstm,asa_4d_id,onehot,860290,82971137.22524679,2496352605696,30087,33.765,1135746220032,0,,,0,,,ok,,
lstm,embeddings,aggregate,544867,38901248.0,933629952,24,0.086,905969664,0,,,0,,,ok,,
lstm,embeddings,embeddings,663952,38965760.0,79801876480,2048,1.116,77309411328,0,,,0,,,ok,38965760,same
lstm,fa_2d,embeddings,1237038,80026561.66556984,2407759160832,30087,30.399,1135746220032,0,,,0,,,ok,80026562,same
lstm,fa_2d,onehot,1440130,103158721.66556984,3103736458752,30087,35.988,1135746220032,0,,,0,,,ok,,
lstm,fa_2d_id,embeddings,1238830,80026561.66556984,2407759160832,30087,30.416,1135746220032,0,,,0,,,ok,,
lstm,fa_2d_id,onehot,1441922,103158721.66556984,3103736458752,30087,36.005,1135746220032,0,,,0,,,ok,,
lstm,fa_3d,embeddings,1227782,96821876.3984445,2913079795200,30087,33.898,1135746220032,0,,,0,,,ok,96821876,same
lstm,fa_3d,onehot,1227778,96821876.3984445,2913079795200,30087,33.897,1135746220032,0,,,0,,,ok,,
lstm,fa_3d_id,embeddings,1401478,96821876.3984445,2913079795200,30087,33.915,1135746220032,0,,,0,,,ok,,
lstm,fa_3d_id,onehot,1401474,96821876.3984445,2913079795200,30087,33.915,1135746220032,0,,,0,,,ok,,
lstm,fa_4d,embeddings,1358722,98282974.61202513,2957039857152,30087,35.127,1135746220032,0,,,0,,,ok,98282975,same
lstm,fa_4d,onehot,1358722,98282974.61202513,2957039857152,30087,35.126,1135746220032,0,,,0,,,ok,,
lstm,fa_4d_id,embeddings,1532674,98282974.61202513,2957039857152,30087,35.144,1135746220032,0,,,0,,,ok,,
lstm,fa_4d_id,onehot,1532674,98282974.61202513,2957039857152,30087,35.144,1135746220032,0,,,0,,,ok,,
lstm,fa_local_2d,embeddings,761774,41692396.91295244,1254399145920,30087,19.301,1135746220032,0,,,0,,,ok,41692397,same
lstm,fa_local_3d,embeddings,686854,56423745.21567454,1697621222304,30087,20.716,1135746220032,0,,,0,,,ok,56423745,same
lstm,fa_local_4d,embeddings,752130,56410413.17140293,1697220101088,30087,21.955,1135746220032,0,,,0,,,ok,56410413,same
lstm,fa_sm_2d,embeddings,1237038,80031601.02901585,2407910780160,30087,31.137,1135746220032,0,,,0,,,ok,80031601,same
lstm,fa_sm_3d,embeddings,1227782,97310334.6981753,2927776040064,30087,34.334,1135746220032,0,,,0,,,ok,97310335,same
lstm,fa_sm_4d,embeddings,1358722,98772152.82081962,2971757761920,30087,36.300,1135746220032,0,,,0,,,ok,98772153,same
lstm,onehot,onehot,707202,50596352.0,103621328896,2048,1.488,77309411328,0,,,0,,,ok,50596352,same
mamba2,aca_2d,embeddings,673038,49097954.82381095,1477210166784,30087,45.286,0,0,383758000128,0,0,,,ok,,
mamba2,aca_2d,onehot,876130,72230114.82381095,2173187464704,30087,50.874,0,0,383758000128,0,0,,,ok,,
mamba2,aca_2d_id,embeddings,674830,49097954.82381095,1477210166784,30087,45.287,0,0,383758000128,0,0,,,ok,,
mamba2,aca_2d_id,onehot,877922,72230114.82381095,2173187464704,30087,50.874,0,0,383758000128,0,0,,,ok,,
mamba2,aca_3d,embeddings,581478,47553827.761890516,1430752015872,30087,44.949,0,0,383758000128,0,0,,,ok,,
